Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
Os03g0820300	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	12.8	3.68398819172094e-112	
Os11g0167800	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-11.2	1.5788580197716e-254	
Os11g0167800	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-10.9	2.67829075354602e-84	
Os03g0820300	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	10.8	8.17906082186373e-90	
Os02g0624300	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	10	7.30829930788674e-28	
Os02g0571100	oryza sativa	E-GEOD-62895	'pia; virulent line of rice blast fungus; susceptible' at '3 day' vs 'pia; water; susceptible' at '3 day'	9.8	0.000211472396101296	
Os09g0522000	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	9.7	4.64049060961385e-37	
Os02g0571100	oryza sativa	E-GEOD-62895	'Pia; avirulent line of rice blast fungus; resistant' at '5 day' vs 'Pia; water; resistant' at '5 day'	9.7	0.0016385248997742	
Os02g0571100	oryza sativa	E-GEOD-62895	'Pia; avirulent line of rice blast fungus; resistant' at '3 day' vs 'Pia; water; resistant' at '3 day'	9.6	0.000414745683833183	
Os02g0571100	oryza sativa	E-GEOD-62895	'pia; virulent line of rice blast fungus; susceptible' at '2 day' vs 'pia; water; susceptible' at '2 day'	9.5	0.000578172779726979	
Os01g0968800	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	9.4	6.8146408713862e-16	
Os06g0127100	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	9.3	9.13411757833107e-16	
Os09g0522200	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	9.2	5.97013154371378e-100	
Os03g0223400	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-9.1	4.95262136457638e-155	
Os04g0178300	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-9.1	3.33939964310899e-24	
Os06g0687200	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	9.1	2.41921969748822e-12	
Os09g0522000	oryza sativa	E-MTAB-5941	'cold temperature regimen; 2 hour' vs 'none; 0 hour' in 'Volano'	9	7.4824211655604e-232	
Os02g0571100	oryza sativa	E-GEOD-62895	'Pia; avirulent line of rice blast fungus; resistant' at '2 day' vs 'Pia; water; resistant' at '2 day'	9	0.00187921271033376	
Os09g0522200	oryza sativa	E-MTAB-5941	'cold temperature regimen; 2 hour' vs 'none; 0 hour' in 'Volano'	8.9	1.7265167513188e-129	
Os02g0571100	oryza sativa	E-GEOD-62895	'pia; virulent line of rice blast fungus; susceptible' at '1 day' vs 'pia; water; susceptible' at '1 day'	8.9	0.000939276654250968	
Os10g0148100	oryza sativa	E-MTAB-6740	'192 hour' vs '8 hour' in 'seed dormant stage; 10 degree celsius'	-8.7	8.9764947568044e-121	
Os06g0127100	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	8.7	1.34326801005779e-13	
Os04g0178300	oryza sativa	E-GEOD-18787	'dexamethazone; osmpk6 complemented line' vs 'ethanol; osmpk6 complemented line'	8.7	0.00238141082169953	
Os02g0571100	oryza sativa	E-MTAB-4406	'Burkholderia glumae' vs 'control' in 'moderately resistant to bacterial panicle blight disease' at 'seedling stage'	8.6	7.6275004806106e-73	
Os04g0178300	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-8.6	3.81151136345021e-30	
Os12g0555500	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	8.5	3.77193946024352e-46	
Os02g0543000	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-8.4	9.12838893421868e-115	
Os11g0167800	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '48 hour; coleoptile'	-8.4	1.28604783435692e-75	
Os04g0178300	oryza sativa	E-MTAB-4406	'Burkholderia glumae' vs 'control' in 'moderately resistant to bacterial panicle blight disease' at 'seedling stage'	8.3	3.03781322573072e-81	
Os04g0178300	oryza sativa	E-MTAB-4406	'Burkholderia glumae' vs 'control' in 'susceptible to bacterial panicle blight disease' at 'seedling stage'	8.2	3.45734732651062e-56	
Os02g0624300	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-8.2	9.48866403420401e-45	
Os09g0522000	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	8.2	2.41346512979311e-30	
Os06g0603600	oryza sativa	E-GEOD-60823	'spx1 spx2 mutant' vs 'wild type' in 'none'	-8.1	4.78709213152537e-8	
Os10g0148100	oryza sativa	E-MTAB-4406	'moderately resistant to bacterial panicle blight disease' vs 'susceptible to bacterial panicle blight disease' in 'control' at 'flowering stage'	-8	1.98303320709021e-77	
Os04g0178300	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '24 hour; plant embryo coleoptile'	-8	1.86841696315086e-61	
Os02g0571100	oryza sativa	E-MTAB-4406	'Burkholderia glumae' vs 'control' in 'susceptible to bacterial panicle blight disease' at 'seedling stage'	8	8.44371168560389e-54	
Os12g0555500	oryza sativa	E-MEXP-2311	'mutant; internode pith parenchyma' vs 'wild type; internode pith parenchyma'	8	0.00000486182049441227	
Os12g0555500	oryza sativa	E-GEOD-62895	'pia; virulent line of rice blast fungus; susceptible' at '3 day' vs 'pia; water; susceptible' at '3 day'	8	0.0124731378631029	
Os03g0223400	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-7.9	1.06049220572752e-223	
