Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
Os08g0374600	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	14	1.9931368431365e-33	
Os08g0374701	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	13.8	4.76573177929551e-32	
Os03g0820300	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	12.8	3.68398819172094e-112	
Os01g0136200	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	12.3	2.91352216496788e-27	
Os07g0154100	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	11.4	1.73833460440398e-23	
Os11g0167800	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-11.2	1.5788580197716e-254	
Os11g0167800	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-10.9	2.67829075354602e-84	
Os03g0820300	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	10.8	8.17906082186373e-90	
Os10g0409400	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-10.7	5.4655891851039e-37	
Os02g0749700	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	10.5	8.85379970001517e-18	
Os07g0154100	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	10.2	3.03275605838163e-22	
Os03g0575200	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-10	3.13540642115404e-25	
Os10g0528100	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	9.8	1.52493663536181e-155	
Os07g0561300	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	9.7	1.04450499831489e-39	
