Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
Os01g0136200	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	12.3	2.91352216496788e-27	
Os05g0519700	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	11.4	9.63122913307597e-53	
Os03g0267000	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	11.3	5.58409307371061e-64	
Os03g0267000	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	11.2	3.43207300940468e-74	
Os05g0519700	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	11.1	2.03462050021917e-38	
Os03g0245800	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	10.4	9.91632648719596e-20	
Os04g0107900	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	9.5	2.0085531102703e-35	
Os02g0782500	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	9.4	5.38498297468554e-16	
Os11g0702100	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	8.7	1.31292229485996e-46	
Os01g0606900	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	8.7	1.1764200364751e-13	
Os11g0244200	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	8.6	2.57250126629267e-13	
Os01g0136200	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	8.5	2.29635959857298e-14	
Os06g0206900	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	-8.1	7.67019211713288e-57	
Os04g0107900	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	8.1	1.49848993287011e-29	
Os01g0606900	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	8.1	4.93023459336181e-13	
Os04g0445100	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	-7.9	2.79734254483327e-9	
Os01g0606900	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	-7.8	3.07777763085131e-9	
Os01g0136200	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	-7.8	3.3828093196201e-9	
Os03g0245800	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	7.7	8.96478118619243e-12	
Os02g0782500	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	7.7	1.07668245033231e-11	
Os04g0445100	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	-7.7	5.9551398959747e-9	
Os04g0445100	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	-7.6	2.9185469208851e-8	
Os03g0170900	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-7.5	3.89635524503113e-164	
Os04g0445100	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	-7.5	3.45623736627065e-9	
Os05g0519700	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	7.5	0.00000266889827743998	
Os04g0445100	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	7.4	6.56162166514045e-10	
Os01g0170000	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	-7.4	2.20343852222453e-9	
Os01g0136200	oryza sativa	E-MEXP-1766	'12 hour, germination' vs '0 hour, dry seed'	-7.3	3.13142717669115e-8	
Os11g0702100	oryza sativa	E-GEOD-38023	'recovery from cold stress; sensitive to chilling; 24 hour' vs 'control; sensitive to chilling'	7.3	0.0000022023460145626	
Os01g0170000	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	-7.2	4.58935606756075e-9	
Os01g0170000	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	-7.2	2.09770232882204e-8	
Os04g0445100	oryza sativa	E-MTAB-3230	'PEG Stress' vs 'normal' in 'Wild Type'	7.1	0.00177639274760988	
Os02g0259900	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	7	1.06034178637317e-43	
