Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
Os08g0374600	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	14	1.9931368431365e-33	
Os03g0820300	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	12.8	3.68398819172094e-112	
Os01g0136200	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	12.3	2.91352216496788e-27	
Os05g0420300	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	11.6	1.83713281783054e-24	
Os09g0457900	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	11.5	1.20297544828701e-20	
Os07g0154100	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	11.4	1.73833460440398e-23	
Os03g0820300	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	10.8	8.17906082186373e-90	
Os09g0457900	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	10.6	9.41523042961064e-25	
Os02g0462800	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	10.5	5.76804551031264e-19	
Os07g0154100	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	10.2	3.03275605838163e-22	
Os03g0575200	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-10	3.13540642115404e-25	
Os07g0561300	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	9.7	1.04450499831489e-39	
Os09g0522000	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	9.7	4.64049060961385e-37	
Os01g0609300	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	9.6	1.75171014521857e-282	
