Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
Os02g0649300	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '3 hour'	9.8	9.3620356785632e-8	
Os02g0649300	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '6 hour'	9.2	3.24060666839375e-8	
Os02g0649300	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'susceptible to drought environment' at '3 hour'	8.5	2.20287984951804e-7	
Os02g0649300	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'susceptible to drought environment' at '6 hour'	8.4	7.53496261165277e-8	
Os04g0401700	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-8.1	5.42853799085672e-179	
Os02g0649300	oryza sativa	E-MTAB-3230	'PEG Stress' vs 'normal' in 'Mutant'	8	2.10278046099711e-8	
Os01g0182600	oryza sativa	E-GEOD-46867	'gi knockout' vs 'wild type' in 'root'	-7.7	1.82166511007721e-7	
Os02g0649300	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99AME1' vs 'IR24; mock'	7.4	3.87614905393981e-7	
Os01g0182600	oryza sativa	E-GEOD-46867	'gi knockout' vs 'wild type' in 'shoot'	-7.4	0.0000627806332115369	
Os04g0401700	oryza sativa	E-MTAB-4406	'Burkholderia glumae' vs 'control' in 'susceptible to bacterial panicle blight disease' at 'seedling stage'	7.3	8.50350147136218e-217	
Os02g0649300	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99AME5' vs 'IR24; mock'	7.1	0.0000193708057172543	
Os02g0649300	oryza sativa	E-MTAB-4994	'drought environment' vs 'normal watering'	6.6	3.39529092665451e-14	
Os02g0649300	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99A' vs 'IR24; mock'	6.6	0.000265782699304631	
Os01g0141000	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	6.5	1.08887069354169e-34	
