"Box plot","LOC Gene ID","Project ID","Experiment ID","Experiment name","Variety","Development stage","Tissue","Expression value"
"","LOC_Os01g58890","SRP047482","SRX738069","Anther_Normal","Nipponbare","before flowering","Anther","6.74599"
"","LOC_Os01g58890","DRP001762","DRX014510","Anther_WT","Nipponbare","flowering","Anther","18.5188"
"","LOC_Os01g58890","DRP000391","DRX000661","Callus_Normal","Nipponbare","N6D medium","Callus","143.544"
"","LOC_Os01g58890","SRP039045","SRX477950","Leaf","Nipponbare","","Leaf","32.6218"
"","LOC_Os01g58890","DRP002329","DRX017638","Leaf_35S:OSH1_-GR+DEX_24h_r1","Nipponbare","21 days seedling","Leaf","4.65273"
"","LOC_Os01g58890","DRP002329","DRX017646","Leaf_35S:OSH1_-GR+DEX_24h_r2","Nipponbare","21 days seedling","Leaf","4.16858"
"","LOC_Os01g58890","DRP002329","DRX017636","Leaf_35S:OSH1_-GR+DEX_3h_r1","Nipponbare","21 days seedling","Leaf","5.23156"
"","LOC_Os01g58890","DRP002329","DRX017644","Leaf_35S:OSH1_-GR+DEX_3h_r2","Nipponbare","21 days seedling","Leaf","4.84381"
"","LOC_Os01g58890","DRP002329","DRX017637","Leaf_35S:OSH1_-GR+DEX_6h_r1","Nipponbare","21 days seedling","Leaf","5.06726"
"","LOC_Os01g58890","DRP002329","DRX017645","Leaf_35S:OSH1_-GR+DEX_6h_r2","Nipponbare","21 days seedling","Leaf","4.39029"
"","LOC_Os01g58890","DRP002329","DRX017635","Leaf_35S:OSH1_-GR+DEX_r1","Nipponbare","21 days seedling","Leaf","4.02802"
"","LOC_Os01g58890","DRP002329","DRX017643","Leaf_35S:OSH1_-GR+DEX_r2","Nipponbare","21 days seedling","Leaf","3.96818"
"","LOC_Os01g58890","SRP056884","SRX978709","Leaf_B8-12_r1","Nipponbare","16 days seedling","Leaf","286.741"
"","LOC_Os01g58890","SRP056884","SRX978710","Leaf_B8-12_r2","Nipponbare","16 days seedling","Leaf","327.15"
"","LOC_Os01g58890","SRP056884","SRX978711","Leaf_B8-12_r3","Nipponbare","16 days seedling","Leaf","406.114"
"","LOC_Os01g58890","SRP056884","SRX978700","Leaf_BLS256_r1","Nipponbare","16 days seedling","Leaf","313.647"
"","LOC_Os01g58890","SRP056884","SRX978701","Leaf_BLS256_r2","Nipponbare","16 days seedling","Leaf","352.588"
"","LOC_Os01g58890","SRP056884","SRX978702","Leaf_BLS256_r3","Nipponbare","16 days seedling","Leaf","411.938"
"","LOC_Os01g58890","SRP056884","SRX978703","Leaf_BLS279_r1","Nipponbare","16 days seedling","Leaf","274.806"
"","LOC_Os01g58890","SRP056884","SRX978704","Leaf_BLS279_r2","Nipponbare","16 days seedling","Leaf","326.752"
"","LOC_Os01g58890","SRP056884","SRX978705","Leaf_BLS279_r3","Nipponbare","16 days seedling","Leaf","450.422"
"","LOC_Os01g58890","SRP056884","SRX978718","Leaf_BXOR1_r1","Nipponbare","16 days seedling","Leaf","330.099"
"","LOC_Os01g58890","SRP056884","SRX978719","Leaf_BXOR1_r2","Nipponbare","16 days seedling","Leaf","286.889"
"","LOC_Os01g58890","SRP056884","SRX978720","Leaf_BXOR1_r3","Nipponbare","16 days seedling","Leaf","405.519"
"","LOC_Os01g58890","SRP056884","SRX978706","Leaf_CFBP2286_r1","Nipponbare","16 days seedling","Leaf","359.838"
"","LOC_Os01g58890","SRP056884","SRX978707","Leaf_CFBP2286_r2","Nipponbare","16 days seedling","Leaf","229.173"
"","LOC_Os01g58890","SRP056884","SRX978708","Leaf_CFBP2286_r3","Nipponbare","16 days seedling","Leaf","376.482"
"","LOC_Os01g58890","SRP056884","SRX978721","Leaf_CFBP7331_r1","Nipponbare","16 days seedling","Leaf","412.284"
"","LOC_Os01g58890","SRP056884","SRX978722","Leaf_CFBP7331_r2","Nipponbare","16 days seedling","Leaf","357.081"
"","LOC_Os01g58890","SRP056884","SRX978723","Leaf_CFBP7331_r3","Nipponbare","16 days seedling","Leaf","499.448"
"","LOC_Os01g58890","SRP056884","SRX978724","Leaf_CFBP7341_r1","Nipponbare","16 days seedling","Leaf","429.195"
"","LOC_Os01g58890","SRP056884","SRX978725","Leaf_CFBP7341_r2","Nipponbare","16 days seedling","Leaf","294.299"
"","LOC_Os01g58890","SRP056884","SRX978726","Leaf_CFBP7341_r3","Nipponbare","16 days seedling","Leaf","436.639"
"","LOC_Os01g58890","SRP056884","SRX978727","Leaf_CFBP7342_r3","Nipponbare","16 days seedling","Leaf","378.857"
"","LOC_Os01g58890","SRP056884","SRX978728","Leaf_CFBP7342_r4","Nipponbare","16 days seedling","Leaf","478.751"
"","LOC_Os01g58890","SRP056884","SRX978729","Leaf_CFBP7342_r5","Nipponbare","16 days seedling","Leaf","515.423"
"","LOC_Os01g58890","SRP056884","SRX978712","Leaf_L8_r1","Nipponbare","16 days seedling","Leaf","267.959"
"","LOC_Os01g58890","SRP056884","SRX978713","Leaf_L8_r2","Nipponbare","16 days seedling","Leaf","472.511"
"","LOC_Os01g58890","SRP056884","SRX978714","Leaf_L8_r3","Nipponbare","16 days seedling","Leaf","349.209"
"","LOC_Os01g58890","SRP056884","SRX978730","Leaf_Mock","Nipponbare","16 days seedling","Leaf","353.329"
"","LOC_Os01g58890","SRP056884","SRX978731","Leaf_Mock","Nipponbare","16 days seedling","Leaf","349.225"
"","LOC_Os01g58890","SRP056884","SRX978732","Leaf_Mock","Nipponbare","16 days seedling","Leaf","434.848"
"","LOC_Os01g58890","DRP000391","DRX000663","Leaf_Normal","Nipponbare","7 days before heading to 7 days after flowering","Leaf","128.055"
"","LOC_Os01g58890","SRP052309","SRX844803","Leaf_Osbhlh148-DR_r1","Nipponbare","45 days old plant","Leaf","379.357"
"","LOC_Os01g58890","SRP052309","SRX844804","Leaf_Osbhlh148-DR_r2","Nipponbare","45 days old plant","Leaf","596.306"
"","LOC_Os01g58890","SRP052309","SRX844805","Leaf_Osbhlh148-WW_r1","Nipponbare","45 days old plant","Leaf","321.059"
"","LOC_Os01g58890","SRP052309","SRX844806","Leaf_Osbhlh148-WW_r2","Nipponbare","45 days old plant","Leaf","351.003"
"","LOC_Os01g58890","SRP052310","SRX844813","Leaf_Oshsfa2e-DR_r1","Nipponbare","45 days old plant","Leaf","341.474"
"","LOC_Os01g58890","SRP052310","SRX844814","Leaf_Oshsfa2e-DR_r2","Nipponbare","45 days old plant","Leaf","368.09"
