"Gene One","Gene Two","Pearson's r-value","P-Value"
"LOC_Os01g01010","LOC_Os01g08420","0.797307","0.0"
"LOC_Os01g01010","LOC_Os01g09252","0.783041","0.0"
"LOC_Os01g01050","LOC_Os01g08420","0.777401","0.0"
"LOC_Os01g01050","LOC_Os01g09252","0.819483","0.0"
"LOC_Os01g01070","LOC_Os01g08420","0.726611","0.0"
"LOC_Os01g01150","LOC_Os01g08420","0.774447","0.0"
"LOC_Os01g01150","LOC_Os01g09252","0.79833","0.0"
"LOC_Os01g01420","LOC_Os01g08420","0.745571","0.0"
"LOC_Os01g01420","LOC_Os01g09252","0.810058","0.0"
"LOC_Os01g01484","LOC_Os01g08420","0.710497","5.6E-45"
"LOC_Os01g01484","LOC_Os01g09252","0.766374","0.0"
"LOC_Os01g01689","LOC_Os01g08420","0.810901","0.0"
"LOC_Os01g01790","LOC_Os01g08420","0.7134","1.4E-45"
"LOC_Os01g01830","LOC_Os01g08420","0.845164","0.0"
"LOC_Os01g01830","LOC_Os01g09252","0.743297","0.0"
"LOC_Os01g01960","LOC_Os01g08420","0.939623","0.0"
"LOC_Os01g01960","LOC_Os01g09252","0.762865","0.0"
"LOC_Os01g02090","LOC_Os01g08420","0.702382","1.56E-43"
"LOC_Os01g02100","LOC_Os01g08420","0.700427","3.35E-43"
"LOC_Os01g02884","LOC_Os01g08420","0.803883","0.0"
"LOC_Os01g02884","LOC_Os01g09252","0.718492","0.0"
"LOC_Os01g02960","LOC_Os01g08420","0.709547","8.4E-45"
"LOC_Os01g03090","LOC_Os01g08420","0.750262","0.0"
"LOC_Os01g03090","LOC_Os01g09252","0.739127","0.0"
"LOC_Os01g03144","LOC_Os01g08420","0.73155","0.0"
"LOC_Os01g03520","LOC_Os01g08420","0.747584","0.0"
"LOC_Os01g03650","LOC_Os01g08420","0.703895","8.5E-44"
"LOC_Os01g05130","LOC_Os01g08420","0.765713","0.0"
"LOC_Os01g05130","LOC_Os01g09252","0.77973","0.0"
"LOC_Os01g05420","LOC_Os01g08420","0.843334","0.0"
"LOC_Os01g05420","LOC_Os01g09252","0.836077","0.0"
"LOC_Os01g05500","LOC_Os01g08420","0.868841","0.0"
"LOC_Os01g05500","LOC_Os01g09252","0.760818","0.0"
"LOC_Os01g05540","LOC_Os01g09252","0.725761","0.0"
"LOC_Os01g06020","LOC_Os01g08420","0.793778","0.0"
"LOC_Os01g06020","LOC_Os01g09252","0.730962","0.0"
"LOC_Os01g06270","LOC_Os01g08420","0.772426","0.0"
"LOC_Os01g06280","LOC_Os01g09252","0.708153","1.5E-44"
"LOC_Os01g06600","LOC_Os01g08420","0.724078","0.0"
"LOC_Os01g06680","LOC_Os01g09252","0.794149","0.0"
"LOC_Os01g07070","LOC_Os01g08420","0.724913","0.0"
"LOC_Os01g07100","LOC_Os01g08420","0.727308","0.0"
"LOC_Os01g07540","LOC_Os01g08420","0.774053","0.0"
"LOC_Os01g07540","LOC_Os01g09252","0.700888","2.8E-43"
"LOC_Os01g07920","LOC_Os01g08420","0.720342","0.0"
"LOC_Os01g08200","LOC_Os01g08420","0.756936","0.0"
"LOC_Os01g08280","LOC_Os01g09252","0.78627","0.0"
"LOC_Os01g08290","LOC_Os01g08420","0.743232","0.0"
"LOC_Os01g08420","LOC_Os01g08680","0.76943","0.0"
"LOC_Os01g08420","LOC_Os01g09252","0.803427","0.0"
"LOC_Os01g08420","LOC_Os01g10150","0.876086","0.0"
"LOC_Os01g08420","LOC_Os01g10250","0.741679","0.0"
"LOC_Os01g08420","LOC_Os01g11070","0.746092","0.0"
"LOC_Os01g08420","LOC_Os01g11370","0.75064","0.0"
"LOC_Os01g08420","LOC_Os01g12530","0.827913","0.0"
"LOC_Os01g08420","LOC_Os01g12550","0.838672","0.0"
"LOC_Os01g08420","LOC_Os01g13100","0.713738","1.4E-45"
"LOC_Os01g08420","LOC_Os01g13150","0.732687","0.0"
"LOC_Os01g08420","LOC_Os01g13170","0.700923","2.76E-43"
"LOC_Os01g08420","LOC_Os01g13470","0.74155","0.0"
"LOC_Os01g08420","LOC_Os01g13550","0.759823","0.0"
"LOC_Os01g08420","LOC_Os01g14370","0.747948","0.0"
"LOC_Os01g08420","LOC_Os01g15660","0.79285","0.0"
"LOC_Os01g08420","LOC_Os01g16080","0.829481","0.0"
"LOC_Os01g08420","LOC_Os01g16180","0.72076","0.0"
"LOC_Os01g08420","LOC_Os01g16414","0.759849","0.0"
"LOC_Os01g08420","LOC_Os01g16540","0.803234","0.0"
"LOC_Os01g08420","LOC_Os01g16970","0.721938","0.0"
"LOC_Os01g08420","LOC_Os01g17180","0.799236","0.0"
"LOC_Os01g08420","LOC_Os01g17260","0.862189","0.0"
"LOC_Os01g08420","LOC_Os01g19150","0.809061","0.0"
"LOC_Os01g08420","LOC_Os01g21170","0.776784","0.0"
"LOC_Os01g08420","LOC_Os01g21450","0.814869","0.0"
"LOC_Os01g08420","LOC_Os01g21610","0.723485","0.0"
"LOC_Os01g08420","LOC_Os01g22070","0.820057","0.0"
"LOC_Os01g08420","LOC_Os01g23590","0.915311","0.0"
"LOC_Os01g08420","LOC_Os01g23910","0.760574","0.0"
"LOC_Os01g08420","LOC_Os01g24750","0.75242","0.0"
"LOC_Os01g08420","LOC_Os01g25320","0.835044","0.0"
"LOC_Os01g08420","LOC_Os01g25370","0.741787","0.0"
"LOC_Os01g08420","LOC_Os01g25530","0.713012","2.8E-45"
"LOC_Os01g08420","LOC_Os01g26130","0.733149","0.0"
"LOC_Os01g08420","LOC_Os01g27590","0.756811","0.0"
"LOC_Os01g08420","LOC_Os01g29409","0.795461","0.0"
"LOC_Os01g08420","LOC_Os01g29469","0.700444","3.32E-43"
"LOC_Os01g08420","LOC_Os01g29610","0.789097","0.0"
"LOC_Os01g08420","LOC_Os01g31360","0.757936","0.0"
"LOC_Os01g08420","LOC_Os01g31470","0.702176","1.7E-43"
"LOC_Os01g08420","LOC_Os01g31810","0.730595","0.0"
"LOC_Os01g08420","LOC_Os01g32184","0.81987","0.0"
"LOC_Os01g08420","LOC_Os01g32300","0.726703","0.0"
"LOC_Os01g08420","LOC_Os01g32750","0.849861","0.0"
"LOC_Os01g08420","LOC_Os01g32980","0.738817","0.0"
"LOC_Os01g08420","LOC_Os01g33060","0.748996","0.0"
"LOC_Os01g08420","LOC_Os01g33762","0.765913","0.0"
"LOC_Os01g08420","LOC_Os01g33784","0.702344","1.58E-43"
"LOC_Os01g08420","LOC_Os01g33800","0.854122","0.0"
"LOC_Os01g08420","LOC_Os01g34200","0.705509","4.5E-44"
"LOC_Os01g08420","LOC_Os01g34330","0.74474","0.0"
"LOC_Os01g08420","LOC_Os01g34430","0.738194","0.0"
"LOC_Os01g08420","LOC_Os01g35160","0.745053","0.0"
"LOC_Os01g08420","LOC_Os01g35184","0.7774","0.0"
"LOC_Os01g08420","LOC_Os01g35580","0.720838","0.0"
"LOC_Os01g08420","LOC_Os01g36670","0.775138","0.0"
"LOC_Os01g08420","LOC_Os01g36840","0.785142","0.0"
"LOC_Os01g08420","LOC_Os01g37120","0.749535","0.0"
"LOC_Os01g08420","LOC_Os01g37210","0.724341","0.0"
"LOC_Os01g08420","LOC_Os01g37760","0.861085","0.0"
"LOC_Os01g08420","LOC_Os01g37825","0.720606","0.0"
"LOC_Os01g08420","LOC_Os01g39060","0.755879","0.0"
"LOC_Os01g08420","LOC_Os01g39250","0.715881","0.0"
"LOC_Os01g08420","LOC_Os01g39260","0.783439","0.0"
"LOC_Os01g08420","LOC_Os01g39380","0.764275","0.0"
"LOC_Os01g08420","LOC_Os01g40050","0.83643","0.0"
"LOC_Os01g08420","LOC_Os01g40340","0.782994","0.0"
"LOC_Os01g08420","LOC_Os01g40620","0.768664","0.0"
"LOC_Os01g08420","LOC_Os01g40840","0.802461","0.0"
"LOC_Os01g08420","LOC_Os01g40990","0.811116","0.0"
"LOC_Os01g08420","LOC_Os01g42010","0.767151","0.0"
"LOC_Os01g08420","LOC_Os01g42050","0.731571","0.0"
"LOC_Os01g08420","LOC_Os01g42260","0.772146","0.0"
